rank,nodename,count,percentage
731,Flash Freeze,10,0.00%
732,Minion Block,10,0.00%
733,Noxious Strike,10,0.00%
734,Sword Attack Speed,10,0.00%
735,Fangs of Frost,9,0.00%
736,Gladiator,9,0.00%
737,Studious Combatant,9,0.00%
738,Chaos Resistance,8,0.00%
739,Conqueror,7,0.00%
740,Bow Accuracy,6,0.00%
741,Gemini,6,0.00%
742,Path of the Hunter,6,0.00%
743,Path of the Shadow,6,0.00%
744,Armour and Energy Shield, Life Regeneration,5,0.00%
745,Battle Rouse,5,0.00%
746,Decay Ward,5,0.00%
747,Prism Weave,5,0.00%
748,Time of Need,5,0.00%
749,Worthy Foe,5,0.00%
750,Axe and Sword Accuracy,4,0.00%
751,Path of the Marauder,4,0.00%
752,Wand Attack Speed,4,0.00%
753,Path of the Duelist,2,0.00%
754,Born in the Shadows,1,0.00%
755,Claw Damage and Accuracy,1,0.00%
756,Claws of the Pride,1,0.00%
